dfo_centroid_y,dfo_main_cause,dfo_centroid_x,slope_threshold,dfo_severity,threshold_b1b2,dfo_displaced,began,dfo_validation_type,dfo_country,dfo_dead,gfd_country_code,ended,threshold_type,threshold_b7,began_y,began_m,began_d,ended_y,ended_m,ended_d,path,range
14.444999,Torrential Rain,100.350001,5,1.5,0.7,0,2010/9/20,News,Thailand,2,MY TH BM CH LA CB VM SN,2010/9/30,0,675,2010,9,20,2010,9,30,/Laos/DFO_3723_From_20100920_to_20100930/DFO_3723_From_20100920_to_20100930.tif,"(93.85598088480761 33.82157044709999,93.85598088480761 1.235183515664346,106.67269420098287 1.235183515664346,106.67269420098287 33.82157044709999,93.85598088480761 33.82157044709999)"
14.206227,Heavy rain,108.878131,5,1,0.7,0,2002/10/26,News,Vietnam,2,LA CB VM,2002/10/29,0,675,2002,10,26,2002,10,29,/Laos/DFO_2077_From_20021026_to_20021029/DFO_2077_From_20021026_to_20021029.tif,"(103.05697518240181 21.68083938222465,103.05697518240181 9.526633588087524,109.4731920992255 9.526633588087524,109.4731920992255 21.68083938222465,103.05697518240181 21.68083938222465)"
16.320817,Heavy rain,107.359696,5,1,0.7,94000,2007/10/28,News,Vietnam,70,TH LA CB VM,2007/11/9,0,675,2007,10,28,2007,11,9,/Laos/DFO_3219_From_20071028_to_20071109/DFO_3219_From_20071028_to_20071109.tif,"(100.8313990659957 21.68083938222465,100.8313990659957 9.526633588087524,109.4731920992255 9.526633588087524,109.4731920992255 21.68083938222465,100.8313990659957 21.68083938222465)"
12.658027,Monsoonal Rain,105.083548,5,1.5,0.7,60000,2013/9/27,News,Cambodia,122,TH LA CB VM,2013/10/14,0,675,2013,9,27,2013,10,14,/Laos/DFO_4090_From_20130927_to_20131014/DFO_4090_From_20130927_to_20131014.tif,"(102.16539726291319 21.68083938222465,102.16539726291319 9.526633588087524,109.4731920992255 9.526633588087524,109.4731920992255 21.68083938222465,102.16539726291319 21.68083938222465)"
10.501685,Monsoonal rain,105.253898,5,1,0.7,200000,2002/7/15,News,Vietnam,155,TH BM LA CB VM,2002/12/2,0,675,2002,7,15,2002,12,2,/Laos/DFO_1991_From_20020715_to_20021202/DFO_1991_From_20020715_to_20021202.tif,"(98.07357114374877 21.68083938222465,98.07357114374877 8.56094465765904,109.47319209922549 8.56094465765904,109.47319209922549 21.68083938222465,98.07357114374877 21.68083938222465)"
13.081862,Monsoonal Rain,101.693689,5,1.5,0.7,982799,2013/9/30,News,Thailand,42,MY TH BM CH LA CB VM SN,2013/10/14,0,675,2013,9,30,2013,10,14,/Laos/DFO_4092_From_20130930_to_20131014/DFO_4092_From_20130930_to_20131014.tif,"(91.14756030318725 32.77278735289045,91.14756030318725 1.235183515664346,107.05447819673367 1.235183515664346,107.05447819673367 32.77278735289045,91.14756030318725 32.77278735289045)"
15.648431,Tropical Cyclone,108.217279,5,1,0.7,15000,2005/11/2,News,Vietnam,20,TH LA CB VM,2005/11/4,0,675,2005,11,2,2005,11,4,/Laos/DFO_2760_From_20051102_to_20051104/DFO_2760_From_20051102_to_20051104.tif,"(100.8313990659957 21.68083938222465,100.8313990659957 9.526633588087524,109.4731920992255 9.526633588087524,109.4731920992255 21.68083938222465,100.8313990659957 21.68083938222465)"
13.279945,Monsoonal rain,105.882012,5,1.5,0.7,19000,2007/8/10,News,Cambodia,2,TH LA CB VM,2007/8/24,0,675,2007,8,10,2007,8,24,/Laos/DFO_3168_From_20070810_to_20070824/DFO_3168_From_20070810_to_20070824.tif,"(101.27381934342456 17.658632697579495,101.27381934342456 11.478223542837188,108.77699775403286 11.478223542837188,108.77699775403286 17.658632697579495,101.27381934342456 17.658632697579495)"
17.211479,Heavy rain,100.338679,5,1,0.7,1000,2007/5/11,News,Thailand,0,TH BM LA CB VM,2007/5/21,0,675,2007,5,11,2007,5,21,/Laos/DFO_3073_From_20070511_to_20070521/DFO_3073_From_20070511_to_20070521.tif,"(98.07357114374877 20.95544979029814,98.07357114374877 8.560944657659041,107.05447819673368 8.560944657659041,107.05447819673368 20.95544979029814,98.07357114374877 20.95544979029814)"
19.068486,Monsoonal rain,99.369102,5,2,1.335,119270,2005/8/13,News,Thailand,11,TH BM CH LA CB VM,2005/9/26,1,985.95,2005,8,13,2005,9,26,/Laos/DFO_2709_From_20050813_to_20050926/DFO_2709_From_20050813_to_20050926.tif,"(91.14756030318725 33.82157044709999,91.14756030318725 8.56094465765904,107.05447819673367 8.56094465765904,107.05447819673367 33.82157044709999,91.14756030318725 33.82157044709999)"
